dataset,mean,sigma
sines,0.09363770768712894,0.00023206611430141567
stocks,0.03700626755287821,0.00015350729351276622
etth,0.12023659155968122,0.001626044630799309
mujoco,0.00899673179925369,0.002828588044051995
energy,0.25064356902524976,0.00014716707820620637
fmri,0.09990210893201298,0.00020093144889679444
