dataset,mean,sigma
sines,0.015384810253885217,0.004019544115509883
stocks,0.007748566014285037,0.007811555181747758
etth,0.048716220153487894,0.009493505988964179
mujoco,0.19297151064335819,0.017458503027174187
energy,0.8595274935027124,0.1723229887557154
fmri,1.478536761846997,0.048899427683685576
