dataset,mean,sigma
sines,0.02220000000000002,0.0046427691472075054
stocks,0.08894952251023192,0.007958852764480115
etth,0.06988505747126436,0.004308646236846113
mujoco,0.014049999999999984,0.005246856878784587
energy,0.1189196043621608,0.00815821596258579
fmri,0.18331663326653308,0.0200099281830721
