dataset,mean,sigma
sines,0.009112867878504098,0.00168148053043443
stocks,0.18315966711988557,0.040554054227438616
etth,0.13849652299033038,0.006658712201078179
mujoco,0.013099279626494218,0.0020024259261280405
energy,0.1005746692998922,0.02021675090508071
fmri,0.11611313015671235,0.006965955118461803
